,count,mean,std,min,50%,max
Error %,55688.0,26.071517410901887,5.616414934722356,0.0,25.027018774231173,73.4748517881048
Match %,55688.0,85.9394326142918,4.594382000382264,54.156769596199524,86.33421324889852,100.0
Mismatch %,55688.0,7.996293670740959,2.52850863662242,0.0,7.497022605509359,28.169014084507044
Insertion %,55688.0,6.0642737149672525,2.3059887659602283,0.0,6.19811297283346,32.255393151422304
Deletion %,55688.0,12.010950025193681,2.394626370625055,0.0,11.601070350865728,64.20443679479824
Identity %,55688.0,75.97965338352478,7.554841684631838,0.0009530707940985857,77.354694926977,85.36291839037231
Read length,55688.0,19947.57263683379,14193.943055779939,1533.0,15187.0,131317.0
