,albacore_v2.2.7,chiron_v0.3,guppy_v0.5.1,mincall_b0,mincall_b50
Error %,14.623743782874572,15.853856992016926,14.640500936675696,26.071517410901787,24.265928690230474
Match %,90.16475327607893,88.6992633771633,90.15044607012389,85.93943261429283,86.13745032977369
Mismatch %,4.668960159503754,5.306113448409514,4.676380320900738,7.996293670740916,7.7569968262551505
Insertion %,5.166286564417713,5.994623174427442,5.173173608974362,6.064273714967256,6.105552843970852
Deletion %,4.788497058953111,4.553120369179919,4.790947006800453,12.01095002519376,10.403379020004529
Identity %,85.10705493501962,83.8808749982176,85.09519360689687,75.97965338352451,77.30526884224456
Read length,21176.88157005089,21342.02215893922,21180.48306322351,19947.57263683379,20252.142049253398
