,count,mean,std,min,50%,max
Error %,56185.0,15.853856992016915,6.546082968897193,0.0,14.877239548772396,64.30724615560727
Match %,56185.0,88.699263377163,5.694961235330083,46.96969696969697,89.20309168443497,100.0
Mismatch %,56185.0,5.306113448409529,2.6083032312370014,0.0,4.818157685160605,31.818181818181817
Insertion %,56185.0,5.99462317442747,3.269012502568403,0.0,5.9861832419226975,30.302912167166973
Deletion %,56185.0,4.553120369179916,1.91646591914779,0.0,4.1393666393666395,54.20665518278511
Identity %,56185.0,83.88087499821758,8.917871679553548,0.0010442991708264583,85.35387456972546,94.5157780195865
Read length,56185.0,21342.02215893922,15257.246130247473,2077.0,16215.0,145491.0
