,count,mean,std,min,50%,max
Error %,9.0,30.242360930461377,4.255221354667911,25.474683544303797,29.625550660792953,37.99460431654676
Match %,9.0,85.60773600678749,3.506333680653292,81.08386211627509,85.57268722466961,90.60006937218175
Mismatch %,9.0,9.614376754109763,2.4315548091798216,6.677072493929934,9.434654919236417,13.309352517985612
Insertion %,9.0,4.777887239102744,1.2219909611968975,2.7228581338883107,4.992657856093979,6.722689075630252
Deletion %,9.0,15.850096937248871,2.0385871652420895,13.765822784810126,15.198237885462555,19.28956834532374
Identity %,9.0,73.42221701100165,3.5653103760010425,68.07228915662651,72.04399633363886,77.57182576459685
Read length,9.0,4556.555555555556,2148.408021716959,1897.0,5731.0,7937.0
